,"Amazon 
Timestream","Amazon Simple 
Storage Service","Amazon Relational
Database Service","Amazon 
Lightsail","Amazon Elastic
 Compute Cloud","Amazon 
DynamoDB","Amazon 
API Gateway","Amazon 
CloudWatch","Amazon 
WorkSpaces","Amazon Virtual 
Private Cloud","AWS IoT 
Device Defender","AWS IoT 
Device Mgmt","AWS
Data transfer","AWS
Lambda","AWS Support
(Business)",AWS IoT,"AWS Key 
Mgmt Service",Amazon Simple Queue Service,Amazon Simple Email Service,"AWS IoT 
Events","AWS Cost 
Explorer",Amazon ElastiCache,Amazon Elastic Load Balancing,Amazon Elastic Map Reduce,Amazon Data Pipeline,AWS CloudTrail
"Feb
2021",0.00,0.00,1720.25,0.00,18334.02,1097.23,0.00,423.13,0.00,0.00,75.87,0.00,41.58,77.33,2246.25,690.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Mar
2021",0.00,0.00,2428.88,0.00,42288.64,1115.99,0.00,553.95,0.00,0.00,75.67,0.00,41.88,69.06,4726.25,689.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Apr
2021",0.00,0.00,2666.72,0.00,8025.11,1433.16,0.00,649.44,0.00,0.00,99.80,0.00,57.24,95.40,1393.53,909.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"May
2021",0.00,0.00,2692.83,0.00,3862.67,1346.05,0.00,690.05,0.00,0.00,116.24,0.00,77.74,115.50,996.58,1069.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jun
2021",0.00,0.00,2570.76,0.00,3952.84,1385.70,0.00,617.16,0.00,0.00,94.17,0.00,60.12,89.82,965.57,880.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jul
2021",0.00,0.00,2515.65,0.00,3805.03,1333.17,0.00,634.67,0.00,0.00,92.79,0.00,67.55,81.65,934.56,817.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Aug
2021",0.00,0.00,2576.25,1751.73,4703.77,1412.40,0.00,766.47,0.00,102.69,124.27,0.00,99.72,119.81,244.83,1116.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep
2021",0.00,0.00,2548.46,361.97,6322.80,1410.52,0.00,825.06,0.00,545.16,153.14,0.00,172.19,162.67,0.00,1301.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Oct
2021",37.82,2.22,2790.26,352.95,6522.23,1379.93,0.00,936.51,0.00,533.88,180.18,0.00,156.46,616.19,308.86,1563.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Nov
2021",276.31,5.99,3689.34,374.40,6956.35,1514.07,1.50,1075.28,775.01,557.11,200.68,0.00,121.31,254.59,2183.33,1816.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
